player_name,player_height,pts,reb,ast,label
Luc Longley,218.44,11.4,5.9,2.8,3
Kerry Kittles,195.58,17.2,4.7,2.3,3
Lorenzo Williams,205.74,1.9,1.9,0.2,0
Keith Booth,198.12,1.7,0.7,0.2,0
Keith Askins,203.2,2.4,2.2,0.6,0
Kebu Stewart,203.2,2.7,2.1,0.1,0
Karl Malone,205.74,27.0,10.3,3.9,2
Juwan Howard,205.74,18.5,7.0,3.3,2
Jud Buechler,198.12,2.7,1.0,0.7,0
Jon Barry,195.58,2.5,0.8,1.0,0
Johnny Taylor,205.74,3.2,1.1,0.1,0
Johnny Newman,200.66,14.7,1.9,1.9,3
John Wallace,205.74,14.0,4.5,1.3,3
John Thomas,205.74,2.8,2.0,0.3,0
John Stockton,185.42,12.0,2.6,8.5,4
John Starks,195.58,12.9,2.8,2.7,1
John Crotty,185.42,3.7,1.2,2.4,1
Joe Wolf,210.82,1.5,2.2,0.5,0
Joe Stephens,200.66,3.9,0.9,0.1,0
Joe Smith,208.28,14.6,6.0,1.2,3
Joe Kleine,210.82,2.0,1.7,0.7,0
Joe Dumars,190.5,13.1,1.4,3.5,1
Jimmy Oliver,195.58,5.0,2.0,1.0,1
Jim McIlvaine,215.9,3.2,3.3,0.2,0
Jim Jackson,198.12,15.7,5.1,4.8,4
Rasheed Wallace,210.82,14.6,6.2,2.5,2
Keith Closs,220.98,4.0,2.9,0.3,0
Keith Van Horn,208.28,19.7,6.6,1.7,2
Kelvin Cato,210.82,3.8,3.4,0.3,0
Kendall Gill,195.58,13.4,4.8,2.5,3
Lorenzen Wright,210.82,9.0,8.8,0.8,2
Lloyd Daniels,200.66,5.7,1.2,0.7,0
Litterial Green,185.42,1.2,0.3,0.8,1
Lindsey Hunter,187.96,12.1,3.5,3.2,1
Lee Mayberry,185.42,4.6,1.4,4.4,1
Ledell Eackles,195.58,5.2,1.8,0.4,0
